,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,26.0,4.0,5.0,8.0,-1.0,-13.0,-109.0,-66.0,-9.0,2.0,4.0,13.0,-18.0,-30.0,-119.0,-45.0,17.0,6.0,-1.0,-9.0,27.0,20.0,91.0,71.0,-26.0,-1.0,0.0,1.0,13.0,20.0,-62.0,-19.0,29.0,2.0,2.0,0.0,-23.0,-1.0,-80.0,4.0,-7.0,-6.0,-12.0,-27.0,-11.0,-16.0,-67.0,-8.0,-27.0,1.0,1.0,13.0,-8.0,-11.0,21.0,-28.0,61.0,4.0,8.0,5.0,4.0,-7.0,-59.0,16.0,0
1,-47.0,-6.0,-5.0,-7.0,13.0,-1.0,35.0,-10.0,10.0,-4.0,0.0,7.0,-31.0,-33.0,-48.0,-52.0,34.0,10.0,5.0,-9.0,23.0,63.0,76.0,49.0,-27.0,-7.0,-7.0,-3.0,0.0,4.0,-111.0,-2.0,-7.0,7.0,11.0,11.0,2.0,2.0,76.0,3.0,7.0,-2.0,0.0,-6.0,21.0,-3.0,0.0,-8.0,-40.0,-4.0,-1.0,6.0,-2.0,-2.0,-105.0,-25.0,47.0,6.0,6.0,5.0,13.0,21.0,111.0,15.0,0
2,-19.0,-8.0,-8.0,-8.0,-21.0,-6.0,-79.0,12.0,0.0,5.0,4.0,16.0,24.0,9.0,33.0,34.0,-1.0,-4.0,-3.0,-6.0,-7.0,-11.0,-85.0,-12.0,-10.0,-2.0,-3.0,-2.0,-8.0,-30.0,-16.0,-22.0,-21.0,-7.0,-8.0,-12.0,-14.0,-18.0,-76.0,-44.0,27.0,7.0,4.0,-4.0,-10.0,23.0,127.0,69.0,-25.0,-12.0,-9.0,1.0,18.0,-33.0,-128.0,-83.0,7.0,7.0,1.0,-8.0,7.0,21.0,114.0,48.0,0
3,2.0,3.0,0.0,2.0,0.0,22.0,106.0,-14.0,-16.0,-2.0,-3.0,-4.0,18.0,21.0,-9.0,2.0,-8.0,0.0,3.0,5.0,-14.0,-15.0,13.0,-13.0,11.0,-4.0,-5.0,-8.0,-30.0,-27.0,-128.0,-22.0,-3.0,-5.0,-8.0,0.0,25.0,-9.0,-28.0,2.0,-22.0,8.0,8.0,-2.0,2.0,12.0,53.0,20.0,28.0,-9.0,-5.0,-5.0,-7.0,-7.0,-54.0,-38.0,-11.0,4.0,7.0,11.0,33.0,39.0,119.0,43.0,0
4,6.0,0.0,0.0,-2.0,-14.0,10.0,-51.0,5.0,7.0,0.0,4.0,13.0,13.0,-16.0,-45.0,-7.0,-84.0,-8.0,-3.0,-4.0,-36.0,-26.0,-128.0,-55.0,75.0,3.0,-8.0,-12.0,14.0,12.0,87.0,56.0,-3.0,2.0,0.0,-7.0,4.0,15.0,-13.0,0.0,-15.0,1.0,3.0,8.0,-2.0,-6.0,-55.0,-24.0,1.0,5.0,5.0,2.0,11.0,12.0,60.0,38.0,-35.0,-8.0,2.0,6.0,-13.0,-24.0,-112.0,-69.0,0
5,15.0,-5.0,-5.0,-15.0,12.0,-22.0,-38.0,36.0,9.0,6.0,-2.0,-4.0,6.0,61.0,84.0,70.0,23.0,4.0,2.0,8.0,4.0,14.0,-71.0,13.0,-46.0,-3.0,-6.0,-3.0,-8.0,-16.0,-99.0,-37.0,14.0,-1.0,0.0,2.0,-4.0,-16.0,13.0,-7.0,-23.0,-4.0,5.0,16.0,4.0,-7.0,21.0,-16.0,47.0,-2.0,-7.0,-28.0,13.0,-11.0,22.0,-26.0,5.0,6.0,6.0,11.0,5.0,30.0,-48.0,25.0,0
6,-12.0,-5.0,-1.0,4.0,-16.0,-17.0,-69.0,-16.0,-12.0,-3.0,-4.0,-6.0,13.0,2.0,72.0,22.0,3.0,-5.0,-4.0,-11.0,-35.0,-15.0,-46.0,-15.0,-21.0,2.0,5.0,8.0,34.0,30.0,69.0,15.0,48.0,2.0,-4.0,-13.0,-14.0,18.0,-3.0,1.0,-9.0,-1.0,2.0,3.0,-4.0,-10.0,-80.0,-21.0,-8.0,5.0,5.0,8.0,8.0,-3.0,-76.0,1.0,-36.0,-10.0,-12.0,-16.0,-12.0,-47.0,6.0,-30.0,0
7,43.0,0.0,-2.0,6.0,11.0,26.0,51.0,27.0,-9.0,-2.0,-1.0,-2.0,17.0,20.0,-79.0,-46.0,10.0,6.0,5.0,10.0,-9.0,-10.0,29.0,73.0,-16.0,-7.0,-5.0,-1.0,-13.0,-24.0,-115.0,-61.0,-28.0,1.0,4.0,7.0,18.0,4.0,127.0,46.0,-7.0,-11.0,-7.0,-7.0,-23.0,-14.0,-72.0,-76.0,49.0,9.0,7.0,10.0,17.0,45.0,127.0,41.0,15.0,4.0,10.0,25.0,9.0,13.0,73.0,47.0,0
8,-26.0,-9.0,-18.0,-60.0,-23.0,-35.0,-85.0,-40.0,27.0,10.0,8.0,16.0,38.0,82.0,109.0,72.0,-33.0,-2.0,-1.0,8.0,-1.0,4.0,-84.0,-14.0,33.0,-3.0,-4.0,-7.0,-15.0,-18.0,-92.0,-2.0,-57.0,2.0,7.0,10.0,5.0,-24.0,-128.0,-24.0,58.0,-1.0,0.0,0.0,9.0,-9.0,106.0,19.0,-3.0,-4.0,-5.0,-13.0,0.0,-1.0,23.0,-17.0,-7.0,-1.0,2.0,10.0,-6.0,7.0,-2.0,-1.0,0
9,-34.0,3.0,9.0,29.0,6.0,-25.0,-124.0,-1.0,12.0,-6.0,-20.0,-66.0,-10.0,-3.0,80.0,23.0,-4.0,0.0,-1.0,8.0,10.0,17.0,16.0,0.0,-19.0,-4.0,-5.0,9.0,15.0,9.0,36.0,-11.0,27.0,1.0,0.0,-9.0,-16.0,4.0,-45.0,-5.0,2.0,-2.0,0.0,15.0,13.0,11.0,35.0,23.0,-44.0,-4.0,2.0,-2.0,-26.0,-33.0,7.0,-6.0,41.0,0.0,-10.0,-17.0,21.0,3.0,42.0,11.0,0
10,-1.0,0.0,6.0,37.0,21.0,22.0,-15.0,-36.0,-10.0,-3.0,-6.0,-24.0,-31.0,-7.0,-49.0,-6.0,-26.0,-4.0,-4.0,5.0,12.0,1.0,20.0,8.0,-15.0,-3.0,-3.0,-14.0,0.0,-12.0,-83.0,-8.0,-11.0,-2.0,-2.0,1.0,-29.0,-4.0,127.0,46.0,14.0,4.0,7.0,13.0,20.0,16.0,-30.0,1.0,-11.0,-7.0,-7.0,-2.0,-18.0,-51.0,-107.0,-73.0,33.0,14.0,11.0,7.0,26.0,60.0,127.0,105.0,0
11,-10.0,-4.0,-2.0,6.0,-7.0,-9.0,-116.0,-16.0,-33.0,1.0,0.0,-5.0,-7.0,-1.0,-33.0,0.0,60.0,-1.0,-5.0,-12.0,2.0,3.0,-7.0,-8.0,-21.0,-7.0,-2.0,15.0,-29.0,-39.0,-128.0,-93.0,-1.0,-5.0,-11.0,-28.0,29.0,10.0,78.0,37.0,-23.0,-3.0,5.0,26.0,-15.0,-7.0,12.0,-3.0,19.0,11.0,8.0,12.0,26.0,38.0,76.0,67.0,-41.0,-5.0,-6.0,-15.0,-4.0,7.0,-87.0,-49.0,0
12,52.0,1.0,-2.0,-1.0,-19.0,-22.0,-38.0,-2.0,2.0,0.0,3.0,5.0,11.0,-12.0,-16.0,-22.0,-2.0,3.0,1.0,-7.0,-1.0,10.0,87.0,3.0,-10.0,0.0,-2.0,-19.0,16.0,4.0,-21.0,9.0,-16.0,3.0,4.0,2.0,-10.0,31.0,25.0,15.0,-4.0,-9.0,-4.0,9.0,2.0,-47.0,-128.0,-102.0,23.0,2.0,5.0,2.0,-33.0,-14.0,-128.0,20.0,31.0,20.0,14.0,8.0,76.0,83.0,127.0,127.0,0
13,-18.0,-3.0,-4.0,-12.0,-7.0,13.0,-94.0,-64.0,16.0,1.0,0.0,6.0,-10.0,-1.0,-127.0,-24.0,-14.0,-3.0,-3.0,2.0,-5.0,-13.0,10.0,0.0,-8.0,-7.0,-2.0,5.0,-16.0,-31.0,64.0,-9.0,1.0,5.0,6.0,7.0,14.0,2.0,11.0,6.0,-28.0,0.0,-4.0,-7.0,-2.0,-9.0,-16.0,42.0,30.0,-5.0,-8.0,-16.0,-5.0,0.0,0.0,-14.0,2.0,-1.0,1.0,3.0,8.0,21.0,15.0,-13.0,0
14,11.0,0.0,-1.0,8.0,3.0,-7.0,-26.0,-10.0,-18.0,2.0,6.0,15.0,13.0,21.0,114.0,27.0,-47.0,-6.0,-3.0,1.0,3.0,-27.0,-128.0,4.0,49.0,-5.0,-9.0,-10.0,-22.0,-27.0,37.0,-25.0,-9.0,1.0,0.0,1.0,15.0,45.0,54.0,8.0,9.0,-2.0,-4.0,-4.0,2.0,-9.0,-103.0,-22.0,-26.0,3.0,5.0,7.0,2.0,-15.0,-78.0,-30.0,-9.0,2.0,4.0,-3.0,-12.0,-9.0,28.0,6.0,0
15,35.0,-1.0,-8.0,-12.0,-2.0,-11.0,77.0,36.0,-15.0,2.0,3.0,-3.0,17.0,35.0,33.0,68.0,44.0,-1.0,-2.0,10.0,-2.0,7.0,-71.0,-40.0,-48.0,-6.0,1.0,9.0,-34.0,-25.0,-13.0,-25.0,-8.0,-4.0,-6.0,-18.0,23.0,-6.0,-89.0,-26.0,29.0,4.0,2.0,2.0,-13.0,-9.0,46.0,-41.0,-11.0,2.0,-3.0,-10.0,8.0,41.0,120.0,30.0,-2.0,-2.0,0.0,0.0,1.0,-16.0,-128.0,-41.0,0
16,-27.0,-5.0,-4.0,4.0,-6.0,-19.0,-29.0,17.0,72.0,3.0,5.0,14.0,9.0,4.0,29.0,-12.0,-61.0,-1.0,1.0,-8.0,-5.0,1.0,-63.0,2.0,47.0,-1.0,0.0,0.0,26.0,-22.0,-3.0,-53.0,27.0,1.0,-4.0,-11.0,-16.0,-2.0,-69.0,3.0,-14.0,8.0,5.0,9.0,33.0,63.0,42.0,46.0,18.0,2.0,5.0,8.0,4.0,25.0,127.0,18.0,-19.0,-2.0,-4.0,-2.0,-11.0,6.0,-109.0,-2.0,0
17,-84.0,-7.0,0.0,4.0,-12.0,-39.0,27.0,-20.0,79.0,2.0,-6.0,-16.0,0.0,6.0,46.0,26.0,-2.0,-5.0,-9.0,-9.0,2.0,-4.0,-65.0,14.0,-11.0,0.0,2.0,8.0,4.0,15.0,17.0,16.0,-11.0,-8.0,-1.0,11.0,-10.0,-56.0,-118.0,-50.0,-21.0,-1.0,-4.0,-21.0,-27.0,4.0,97.0,27.0,3.0,1.0,-1.0,-6.0,30.0,10.0,41.0,22.0,-5.0,-2.0,-4.0,-1.0,-7.0,0.0,-55.0,4.0,0
18,8.0,-7.0,-3.0,5.0,-24.0,-13.0,-50.0,-50.0,-63.0,-5.0,-6.0,-34.0,-24.0,-16.0,-128.0,-31.0,71.0,10.0,7.0,10.0,35.0,73.0,67.0,75.0,2.0,0.0,-2.0,2.0,-1.0,5.0,-120.0,7.0,-8.0,7.0,8.0,6.0,-1.0,17.0,11.0,5.0,26.0,-5.0,-6.0,-5.0,19.0,-12.0,-125.0,-11.0,-31.0,-5.0,-3.0,-3.0,-29.0,-41.0,48.0,-21.0,-13.0,-1.0,-4.0,-8.0,-6.0,-18.0,-12.0,9.0,0
19,26.0,4.0,1.0,-4.0,15.0,33.0,33.0,49.0,-25.0,-4.0,-1.0,15.0,9.0,-13.0,7.0,-8.0,-12.0,-1.0,0.0,0.0,-16.0,-14.0,-5.0,-26.0,26.0,-9.0,-11.0,-9.0,-10.0,-32.0,4.0,-16.0,13.0,9.0,5.0,-5.0,18.0,72.0,102.0,18.0,-22.0,-3.0,2.0,14.0,10.0,-1.0,-122.0,-33.0,-13.0,-1.0,2.0,-1.0,-19.0,-20.0,50.0,-26.0,-55.0,-4.0,0.0,3.0,4.0,-2.0,-21.0,-2.0,0
20,70.0,-1.0,-1.0,-5.0,-10.0,-49.0,-75.0,-43.0,-1.0,5.0,1.0,8.0,34.0,54.0,127.0,70.0,15.0,-2.0,-2.0,4.0,1.0,1.0,-123.0,-19.0,-18.0,1.0,2.0,-1.0,-9.0,-5.0,-44.0,6.0,-14.0,-4.0,-5.0,-6.0,4.0,-3.0,-71.0,-50.0,0.0,5.0,9.0,15.0,9.0,-8.0,56.0,13.0,-8.0,-6.0,-11.0,-7.0,-10.0,-19.0,12.0,-1.0,9.0,2.0,6.0,15.0,22.0,-1.0,15.0,8.0,0
21,2.0,-2.0,-9.0,-25.0,-19.0,33.0,76.0,17.0,-30.0,-7.0,-5.0,5.0,-4.0,-21.0,-106.0,-55.0,-45.0,-2.0,1.0,-6.0,0.0,-10.0,-90.0,-17.0,84.0,-1.0,0.0,-2.0,-12.0,6.0,94.0,36.0,-21.0,1.0,-3.0,2.0,34.0,-1.0,-1.0,21.0,6.0,-1.0,1.0,-4.0,-5.0,16.0,-57.0,-46.0,-12.0,2.0,2.0,4.0,2.0,10.0,51.0,22.0,-17.0,2.0,5.0,12.0,-2.0,5.0,18.0,19.0,0
22,6.0,0.0,3.0,9.0,-6.0,-12.0,-12.0,28.0,-24.0,-4.0,-10.0,-39.0,-2.0,5.0,36.0,-28.0,12.0,-6.0,-4.0,6.0,-1.0,-21.0,-107.0,14.0,-5.0,3.0,2.0,-6.0,-14.0,-3.0,34.0,1.0,14.0,-1.0,1.0,5.0,18.0,10.0,124.0,19.0,-2.0,-5.0,-5.0,2.0,2.0,-12.0,-96.0,-9.0,2.0,-6.0,-3.0,0.0,-14.0,-13.0,34.0,-23.0,-3.0,-1.0,-3.0,-6.0,1.0,4.0,3.0,4.0,0
23,-33.0,-3.0,0.0,-2.0,19.0,14.0,-71.0,-2.0,6.0,-1.0,3.0,10.0,-13.0,-4.0,2.0,1.0,43.0,-1.0,-4.0,-10.0,-2.0,-20.0,-29.0,-35.0,-54.0,1.0,2.0,0.0,12.0,32.0,27.0,-27.0,18.0,2.0,1.0,1.0,-2.0,-5.0,13.0,38.0,6.0,0.0,1.0,3.0,19.0,13.0,-15.0,4.0,-21.0,-3.0,-6.0,-4.0,-9.0,-3.0,-18.0,-15.0,-3.0,-2.0,3.0,3.0,-20.0,-19.0,-53.0,-15.0,0
24,-6.0,-1.0,3.0,-10.0,13.0,-7.0,-1.0,-3.0,15.0,0.0,-4.0,-21.0,-14.0,23.0,47.0,30.0,-42.0,2.0,6.0,11.0,15.0,1.0,-52.0,11.0,55.0,2.0,-5.0,-1.0,4.0,20.0,-6.0,-14.0,-3.0,0.0,2.0,6.0,-5.0,-7.0,20.0,0.0,-16.0,-2.0,1.0,16.0,4.0,-11.0,21.0,9.0,20.0,2.0,8.0,8.0,-9.0,-9.0,-78.0,-47.0,2.0,-2.0,-14.0,-36.0,13.0,22.0,54.0,50.0,0
25,2.0,2.0,4.0,11.0,-1.0,14.0,76.0,13.0,-16.0,2.0,2.0,3.0,8.0,3.0,-21.0,-13.0,-32.0,-4.0,0.0,4.0,-17.0,-11.0,5.0,-1.0,36.0,-4.0,0.0,12.0,8.0,-34.0,-74.0,-32.0,-26.0,-8.0,-19.0,-35.0,-7.0,12.0,-24.0,20.0,42.0,5.0,2.0,4.0,-14.0,1.0,115.0,35.0,-19.0,-2.0,0.0,-4.0,17.0,17.0,-33.0,14.0,11.0,-1.0,0.0,0.0,-16.0,-15.0,-30.0,-19.0,0
26,-22.0,-4.0,0.0,14.0,19.0,5.0,9.0,5.0,-22.0,-8.0,1.0,8.0,-26.0,-29.0,-94.0,-2.0,9.0,-10.0,-25.0,-43.0,3.0,0.0,-38.0,-37.0,9.0,4.0,4.0,-4.0,-6.0,15.0,82.0,7.0,15.0,2.0,0.0,0.0,-3.0,11.0,-6.0,-13.0,-23.0,0.0,5.0,22.0,13.0,-2.0,16.0,-4.0,-26.0,1.0,2.0,3.0,-5.0,-22.0,-59.0,9.0,24.0,-2.0,0.0,-1.0,2.0,-28.0,-34.0,-28.0,0
27,11.0,5.0,8.0,16.0,2.0,46.0,82.0,31.0,10.0,1.0,-2.0,-11.0,9.0,14.0,-83.0,-9.0,6.0,1.0,-1.0,-1.0,3.0,15.0,46.0,25.0,-29.0,0.0,0.0,2.0,-3.0,-6.0,-80.0,-17.0,12.0,3.0,5.0,19.0,-8.0,-28.0,-36.0,-2.0,4.0,0.0,-2.0,-16.0,-4.0,-16.0,-73.0,-48.0,-27.0,-3.0,-2.0,-4.0,-1.0,34.0,120.0,33.0,32.0,3.0,6.0,10.0,2.0,15.0,-68.0,5.0,0
28,15.0,-5.0,-6.0,-4.0,5.0,-7.0,22.0,10.0,-12.0,-3.0,-2.0,4.0,7.0,11.0,-6.0,0.0,-15.0,5.0,8.0,10.0,-1.0,-27.0,-3.0,5.0,17.0,-10.0,-10.0,-3.0,-15.0,-24.0,-98.0,-73.0,-3.0,3.0,-1.0,-7.0,9.0,21.0,97.0,60.0,7.0,-4.0,-8.0,-16.0,22.0,28.0,-40.0,-33.0,6.0,-2.0,2.0,3.0,3.0,-2.0,0.0,-28.0,-29.0,2.0,1.0,5.0,4.0,25.0,90.0,55.0,0
